name,Salaries,yearID
Atlanta Braves,755157000,1985
Baltimore Orioles,728324856,1985
Boston Americans,76282920,1985
Boston Red Sox,1187834040,1985
California Angels,461692608,1985
Chicago Colts,101623336,1985
Chicago Cubs ,1448132538,1985
Chicago Orphans,63514585,1985
Chicago White Sox,1142156648,1985
Chicago White Stockings,177840838,1985
Cincinnati Redlegs,50159502,1985
Cincinnati Reds,1011549957,1985
Cleveland Blues, 6551666,1985
Cleveland Bronchos, 6551666,1985
Cleveland Indians,668269932,1985
Cleveland Naps,78619992,1985
Detroit Tigers,1200384588,1985
Houston Astros,519638652,1985
Houston Colt .45's,29979153,1985
Kansas City Royals,447416592,1985
Los Angeles Dodgers,647107103,1985
Milwaukee Brewers,315954996,1985
Minnesota Twins,322829976,1985
Montreal Expos,340925976,1985
New York Highlanders,142382040,1985
New York Mets,595911910,1985
New York Yankees,1480773216,1985
Oakland Athletics,443871694,1985
Philadelphia Blue Jays,20249932,1985
Philadelphia Phillies,1265620750,1985
Philadelphia Quakers,70874762,1985
Pittsburg Alleghenys,36910000,1985
Pittsburgh Pirates,1162665000,1985
San Diego Padres,529755984,1985
San Francisco Giants,485081126,1985
Seattle Mariners,184520000,1985
St. Louis Browns,82719581,1985
St. Louis Cardinals,1382598711,1985
St. Louis Perfectos,11817083,1985
Texas Rangers,345442500,1985
Toronto Blue Jays,352502000,1985
Atlanta Braves,872242086,1986
Baltimore Orioles,819079254,1986
Boston Americans,100815673,1986
Boston Red Sox,1569844051,1986
California Angels,461672256,1986
Chicago Colts,137665320,1986
Chicago Cubs ,1961730810,1986
Chicago Orphans,86040825,1986
Chicago White Sox,1208583004,1986
Chicago White Stockings,240914310,1986
Cincinnati Redlegs,71438328,1986
Cincinnati Reds,1440672948,1986
Cleveland Blues, 7809500,1986
Cleveland Bronchos, 7809500,1986
Cleveland Indians,796569000,1986
Cleveland Naps,93714000,1986
Detroit Tigers,1430942824,1986
Houston Astros,513410352,1986
Houston Colt .45's,29619828,1986
Kansas City Royals,626097504,1986
Los Angeles Dodgers,879912784,1986
Milwaukee Brewers,278421976,1986
Minnesota Twins,489897352,1986
Montreal Expos,399729600,1986
New York Highlanders,184942530,1986
New York Mets,846654270,1986
New York Yankees,1923402312,1986
Oakland Athletics,479191629,1986
Philadelphia Blue Jays,23180332,1986
Philadelphia Phillies,1448770750,1986
Philadelphia Quakers,81131162,1986
Pittsburg Alleghenys,43374000,1986
Pittsburgh Pirates,1366281000,1986
San Diego Padres,546273264,1986
San Francisco Giants,527873000,1986
Seattle Mariners,238332360,1986
St. Louis Browns,69125070,1986
St. Louis Cardinals,1155376170,1986
St. Louis Perfectos, 9875010,1986
Texas Rangers,303440355,1986
Toronto Blue Jays,504441880,1986
Atlanta Braves,843772560,1987
Baltimore Orioles,875717199,1987
Boston Americans,71009169,1987
Boston Red Sox,1105714203,1987
California Angels,410991968,1987
Chicago Colts,114463992,1987
Chicago Cubs ,1631111886,1987
Chicago Orphans,71539995,1987
Chicago White Sox,1234453788,1987
Chicago White Stockings,200311986,1987
Cincinnati Redlegs,55689000,1987
Cincinnati Reds,1123061500,1987
Cleveland Blues, 8513750,1987
Cleveland Bronchos, 8513750,1987
Cleveland Indians,868402500,1987
Cleveland Naps,102165000,1987
Detroit Tigers,1406254196,1987
Houston Astros,655635292,1987
Houston Colt .45's,37825113,1987
Kansas City Royals,567746688,1987
Los Angeles Dodgers,806848777,1987
Milwaukee Brewers,204210272,1987
Minnesota Twins,358260000,1987
Montreal Expos,249913872,1987
New York Highlanders,170997140,1987
New York Mets,761569270,1987
New York Yankees,1778370256,1987
Oakland Athletics,572361111,1987
Philadelphia Blue Jays,23028466,1987
Philadelphia Phillies,1439279125,1987
Philadelphia Quakers,80599631,1987
Pittsburg Alleghenys,30608000,1987
Pittsburgh Pirates,964152000,1987
San Diego Padres,531158208,1987
San Francisco Giants,430110000,1987
Seattle Mariners,90540000,1987
St. Louis Browns,82306000,1987
St. Louis Cardinals,1375686000,1987
St. Louis Perfectos,11758000,1987
Texas Rangers,39600000,1987
Toronto Blue Jays,419180040,1987
Atlanta Braves,649136874,1988
Baltimore Orioles,852520725,1988
Boston Americans,97272644,1988
Boston Red Sox,1514674028,1988
California Angels,382316416,1988
Chicago Colts,104953584,1988
Chicago Cubs ,1495588572,1988
Chicago Orphans,65595990,1988
Chicago White Sox,741240000,1988
Chicago White Stockings,183668772,1988
Cincinnati Redlegs,53330454,1988
Cincinnati Reds,1075497489,1988
Cleveland Blues, 8936500,1988
Cleveland Bronchos, 8936500,1988
Cleveland Indians,911523000,1988
Cleveland Naps,107238000,1988
Detroit Tigers,1492870236,1988
Houston Astros,638880684,1988
Houston Colt .45's,36858501,1988
Kansas City Royals,698714976,1988
Los Angeles Dodgers,994180385,1988
Milwaukee Brewers,235256000,1988
Minnesota Twins,697909296,1988
Montreal Expos,345719988,1988
New York Highlanders,194411520,1988
New York Mets,839812270,1988
New York Yankees,2021879808,1988
Oakland Athletics,474810000,1988
Philadelphia Blue Jays,27676000,1988
Philadelphia Phillies,1729750000,1988
Philadelphia Quakers,96866000,1988
Pittsburg Alleghenys,23994000,1988
Pittsburgh Pirates,755811000,1988
San Diego Padres,458928096,1988
San Francisco Giants,730420000,1988
Seattle Mariners,293698000,1988
St. Louis Browns,90160000,1988
St. Louis Cardinals,1506960000,1988
St. Louis Perfectos,12880000,1988
Texas Rangers,240395895,1988
Toronto Blue Jays,489649000,1988
Atlanta Braves,566729034,1989
Baltimore Orioles,521335521,1989
Boston Americans,122372236,1989
Boston Red Sox,1905510532,1989
California Angels,483130656,1989
Chicago Colts,85344000,1989
Chicago Cubs ,1216152000,1989
Chicago Orphans,53340000,1989
Chicago White Sox,842787560,1989
Chicago White Stockings,149352000,1989
Cincinnati Redlegs,66432000,1989
Cincinnati Reds,1339712000,1989
Cleveland Blues, 9094500,1989
Cleveland Bronchos, 9094500,1989
Cleveland Indians,927639000,1989
Cleveland Naps,109134000,1989
Detroit Tigers,1756982864,1989
Houston Astros,781534000,1989
Houston Colt .45's,45088500,1989
Kansas City Royals,896811264,1989
Los Angeles Dodgers,1243222158,1989
Milwaukee Brewers,322924000,1989
Minnesota Twins,869773296,1989
Montreal Expos,497066004,1989
New York Highlanders,171143750,1989
New York Mets,1093678905,1989
New York Yankees,1779895000,1989
Oakland Athletics,765040430,1989
Philadelphia Blue Jays,21208000,1989
Philadelphia Phillies,1325500000,1989
Philadelphia Quakers,74228000,1989
Pittsburg Alleghenys,50950000,1989
Pittsburgh Pirates,1604925000,1989
San Diego Padres,681360000,1989
San Francisco Giants,882807206,1989
Seattle Mariners,391180000,1989
St. Louis Browns,112551831,1989
St. Louis Cardinals,1881223461,1989
St. Louis Perfectos,16078833,1989
Texas Rangers,535220145,1989
Toronto Blue Jays,650466640,1989
Atlanta Braves,742330551,1990
Baltimore Orioles,609845292,1990
Boston Americans,143908331,1990
Boston Red Sox,2240858297,1990
California Angels,695040000,1990
Chicago Colts,108992000,1990
Chicago Cubs ,1553136000,1990
Chicago Orphans,68120000,1990
Chicago White Sox,1101014000,1990
Chicago White Stockings,190736000,1990
Cincinnati Redlegs,86220000,1990
Cincinnati Reds,1738770000,1990
Cleveland Blues,14487000,1990
Cleveland Bronchos,14487000,1990
Cleveland Indians,1477674000,1990
Cleveland Naps,173844000,1990
Detroit Tigers,2040815608,1990
Houston Astros,953160000,1990
Houston Colt .45's,54990000,1990
Kansas City Royals,1121332032,1990
Los Angeles Dodgers,1257803536,1990
Milwaukee Brewers,552136676,1990
Minnesota Twins,817712000,1990
Montreal Expos,597109968,1990
New York Highlanders,209123180,1990
New York Mets,1194755870,1990
New York Yankees,2174881072,1990
Oakland Athletics,974487549,1990
Philadelphia Blue Jays,26347334,1990
Philadelphia Phillies,1646708375,1990
Philadelphia Quakers,92215669,1990
Pittsburg Alleghenys,62224000,1990
Pittsburgh Pirates,1960056000,1990
San Diego Padres,844240032,1990
San Francisco Giants,1140784647,1990
Seattle Mariners,502146680,1990
St. Louis Browns,143663338,1990
St. Louis Cardinals,2401230078,1990
St. Louis Perfectos,20523334,1990
Texas Rangers,669346740,1990
Toronto Blue Jays,710273360,1990
Atlanta Braves,938578500,1991
Baltimore Orioles,1103697000,1991
Boston Americans,246172500,1991
Boston Red Sox,3833257500,1991
California Angels,1057920032,1991
Chicago Colts,185405336,1991
Chicago Cubs ,2642026038,1991
Chicago Orphans,115878335,1991
Chicago White Sox,1962681372,1991
Chicago White Stockings,324459338,1991
Cincinnati Redlegs,157831998,1991
Cincinnati Reds,3182945293,1991
Cleveland Blues,17635000,1991
Cleveland Bronchos,17635000,1991
Cleveland Indians,1798770000,1991
Cleveland Naps,211620000,1991
Detroit Tigers,2765246628,1991
Houston Astros,668330000,1991
Houston Colt .45's,38557500,1991
Kansas City Royals,1263352032,1991
Los Angeles Dodgers,1934649176,1991
Milwaukee Brewers,647234000,1991
Minnesota Twins,1308262648,1991
Montreal Expos,386363988,1991
New York Highlanders,273441680,1991
New York Mets,1792450055,1991
New York Yankees,2843793472,1991
Oakland Athletics,1812959183,1991
Philadelphia Blue Jays,44974664,1991
Philadelphia Phillies,2810916500,1991
Philadelphia Quakers,157411324,1991
Pittsburg Alleghenys,94538668,1991
Pittsburgh Pirates,2977968042,1991
San Diego Padres,1063200048,1991
San Francisco Giants,1827092294,1991
Seattle Mariners,627673320,1991
St. Louis Browns,153020007,1991
St. Louis Cardinals,2557620117,1991
St. Louis Perfectos,21860001,1991
Texas Rangers,820102500,1991
Toronto Blue Jays,796096680,1991
Atlanta Braves,1765891983,1992
Baltimore Orioles,1498182021,1992
Boston Americans,305274088,1992
Boston Red Sox,4753553656,1992
California Angels,1111978688,1992
Chicago Colts,238637488,1992
Chicago Cubs ,3400584204,1992
Chicago Orphans,149148430,1992
Chicago White Sox,3498656628,1992
Chicago White Stockings,417615604,1992
Cincinnati Redlegs,215588994,1992
Cincinnati Reds,4347711379,1992
Cleveland Blues, 9373044,1992
Cleveland Bronchos, 9373044,1992
Cleveland Indians,956050488,1992
Cleveland Naps,112476528,1992
Detroit Tigers,3169448744,1992
Houston Astros,801190000,1992
Houston Colt .45's,46222500,1992
Kansas City Royals,1626904032,1992
Los Angeles Dodgers,2642501794,1992
Milwaukee Brewers,868382676,1992
Minnesota Twins,1569558704,1992
Montreal Expos,569604024,1992
New York Highlanders,375433340,1992
New York Mets,2453110110,1992
New York Yankees,3904506736,1992
Oakland Athletics,2010715000,1992
Philadelphia Blue Jays,48767668,1992
Philadelphia Phillies,3047979250,1992
Philadelphia Quakers,170686838,1992
Pittsburg Alleghenys,135776668,1992
Pittsburgh Pirates,4276965042,1992
San Diego Padres,1289000016,1992
San Francisco Giants,1956626912,1992
Seattle Mariners,927193320,1992
St. Louis Browns,193086852,1992
St. Louis Cardinals,3227308812,1992
St. Louis Perfectos,27583836,1992
Texas Rangers,1355767515,1992
Toronto Blue Jays,1791546640,1992
Atlanta Braves,2123712267,1993
Baltimore Orioles,1833079500,1993
Boston Americans,259844081,1993
Boston Red Sox,4046143547,1993
California Angels,914826688,1993
Chicago Colts,315093328,1993
Chicago Cubs ,4490079924,1993
Chicago Orphans,196933330,1993
Chicago White Sox,4604755256,1993
Chicago White Stockings,551413324,1993
Cincinnati Redlegs,269277996,1993
Cincinnati Reds,5430439586,1993
Cleveland Blues,18561000,1993
Cleveland Bronchos,18561000,1993
Cleveland Indians,1893222000,1993
Cleveland Naps,222732000,1993
Colorado Rockies,248484000,1993
Detroit Tigers,4425419140,1993
Florida Marlins,367280355,1993
Houston Astros,1570946000,1993
Houston Colt .45's,90631500,1993
Kansas City Royals,1984616016,1993
Los Angeles Dodgers,2320587941,1993
Milwaukee Brewers,666591352,1993
Minnesota Twins,1580204248,1993
Montreal Expos,680375988,1993
New York Highlanders,426249000,1993
New York Mets,2147401685,1993
New York Yankees,4432989600,1993
Oakland Athletics,1852804317,1993
Philadelphia Blue Jays,57076668,1993
Philadelphia Phillies,3567291750,1993
Philadelphia Quakers,199768338,1993
Pittsburg Alleghenys,99289868,1993
Pittsburgh Pirates,3127630842,1993
San Diego Padres,1224543984,1993
San Francisco Giants,2067950000,1993
Seattle Mariners,1307853320,1993
St. Louis Browns,163571338,1993
St. Louis Cardinals,2733978078,1993
St. Louis Perfectos,23367334,1993
Texas Rangers,1636963155,1993
Toronto Blue Jays,1891166640,1993
Atlanta Braves,2518559163,1994
Baltimore Orioles,2447535447,1994
Boston Americans,265013588,1994
Boston Red Sox,4126640156,1994
California Angels,804998976,1994
Chicago Colts,290298664,1994
Chicago Cubs ,4136755962,1994
Chicago Orphans,181436665,1994
Chicago White Sox,4545324976,1994
Chicago White Stockings,508022662,1994
Cincinnati Redlegs,245770998,1994
Cincinnati Reds,4956381793,1994
Cleveland Blues,30490500,1994
Cleveland Bronchos,30490500,1994
Cleveland Indians,3110031000,1994
Cleveland Naps,365886000,1994
Colorado Rockies,573295992,1994
Detroit Tigers,4807794116,1994
Florida Marlins,411027000,1994
Houston Astros,1722552000,1994
Houston Colt .45's,99378000,1994
Kansas City Royals,1945984032,1994
Los Angeles Dodgers,2242000059,1994
Milwaukee Brewers,681814000,1994
Minnesota Twins,1592556000,1994
Montreal Expos,687528000,1994
New York Highlanders,457313340,1994
New York Mets,1702612065,1994
New York Yankees,4756058736,1994
Oakland Athletics,1674452500,1994
Philadelphia Blue Jays,63198000,1994
Philadelphia Phillies,3949875000,1994
Philadelphia Quakers,221193000,1994
Pittsburg Alleghenys,96869000,1994
Pittsburgh Pirates,3051373500,1994
San Diego Padres,715983984,1994
San Francisco Giants,2515681294,1994
Seattle Mariners,1169140000,1994
St. Louis Browns,204929207,1994
St. Louis Cardinals,3425245317,1994
St. Louis Perfectos,29275601,1994
Texas Rangers,1483811865,1994
Toronto Blue Jays,1737346720,1994
Atlanta Braves,2409007695,1995
Baltimore Orioles,2768378823,1995
Boston Americans,227188626,1995
Boston Red Sox,3537651462,1995
California Angels,999141472,1995
Chicago Colts,236046672,1995
Chicago Cubs ,3363665076,1995
Chicago Orphans,147529170,1995
Chicago White Sox,5447508712,1995
Chicago White Stockings,413081676,1995
Cincinnati Redlegs,258868020,1995
Cincinnati Reds,5220505070,1995
Cleveland Blues,37937835,1995
Cleveland Bronchos,37937835,1995
Cleveland Indians,3869659170,1995
Cleveland Naps,455254020,1995
Colorado Rockies,819713208,1995
Detroit Tigers,4297123488,1995
Florida Marlins,465799839,1995
Houston Astros,1776831368,1995
Houston Colt .45's,102509502,1995
Kansas City Royals,1417576032,1995
Los Angeles Dodgers,2317118859,1995
Milwaukee Brewers,498367100,1995
Minnesota Twins,1422988000,1995
Montreal Expos,445104000,1995
New York Highlanders,488748510,1995
New York Mets,1522124560,1995
New York Yankees,5082984504,1995
Oakland Athletics,1849222025,1995
Philadelphia Blue Jays,61111890,1995
Philadelphia Phillies,3819493125,1995
Philadelphia Quakers,213891615,1995
Pittsburg Alleghenys,73421380,1995
Pittsburgh Pirates,2312773470,1995
San Diego Padres,1266352032,1995
San Francisco Giants,2151303843,1995
Seattle Mariners,1459252440,1995
St. Louis Browns,259707000,1995
St. Louis Cardinals,4340817000,1995
St. Louis Perfectos,37101000,1995
Texas Rangers,1556165295,1995
Toronto Blue Jays,2023600000,1995
Atlanta Braves,2534623500,1996
Baltimore Orioles,3432889845,1996
Boston Americans,296754500,1996
Boston Red Sox,4620891500,1996
California Angels,919616000,1996
Chicago Colts,264648000,1996
Chicago Cubs ,3771234000,1996
Chicago Orphans,165405000,1996
Chicago White Sox,5236182000,1996
Chicago White Stockings,463134000,1996
Cincinnati Redlegs,255158004,1996
Cincinnati Reds,5145686414,1996
Cleveland Blues,48107360,1996
Cleveland Bronchos,48107360,1996
Cleveland Indians,4906950720,1996
Cleveland Naps,577288320,1996
Colorado Rockies,964315752,1996
Detroit Tigers,2718808000,1996
Florida Marlins,589427500,1996
Houston Astros,1481324000,1996
Houston Colt .45's,85461000,1996
Kansas City Royals,973500000,1996
Los Angeles Dodgers,2085945000,1996
Milwaukee Brewers,608440000,1996
Minnesota Twins,1294552000,1996
Montreal Expos,585522000,1996
New York Highlanders,541917920,1996
New York Mets,1346372500,1996
New York Yankees,5635946368,1996
Oakland Athletics,1040907000,1996
Philadelphia Blue Jays,68629000,1996
Philadelphia Phillies,4289312500,1996
Philadelphia Quakers,240201500,1996
Pittsburg Alleghenys,92070000,1996
Pittsburgh Pirates,2900205000,1996
San Diego Padres,1360712256,1996
San Francisco Giants,2191538775,1996
Seattle Mariners,1653140040,1996
St. Louis Browns,281887669,1996
St. Louis Cardinals,4711551039,1996
St. Louis Perfectos,40269667,1996
Texas Rangers,1756868760,1996
Toronto Blue Jays,1182203320,1996
Anaheim Angels,249083776,1997
Atlanta Braves,2666203500,1997
Baltimore Orioles,3686533200,1997
Boston Americans,304911250,1997
Boston Red Sox,4747903750,1997
Chicago Colts,337242664,1997
Chicago Cubs ,4805707962,1997
Chicago Orphans,210776665,1997
Chicago White Sox,6697840000,1997
Chicago White Stockings,590174662,1997
Cincinnati Redlegs,298608000,1997
Cincinnati Reds,6021928000,1997
Cleveland Blues,56802460,1997
Cleveland Bronchos,56802460,1997
Cleveland Indians,5793850920,1997
Cleveland Naps,681629520,1997
Colorado Rockies,1045432008,1997
Detroit Tigers,2003552000,1997
Florida Marlins,925157500,1997
Houston Astros,1808430000,1997
Houston Colt .45's,104332500,1997
Kansas City Royals,1663440000,1997
Los Angeles Dodgers,2677437936,1997
Milwaukee Brewers,662349464,1997
Minnesota Twins,1908060000,1997
Montreal Expos,694638000,1997
New York Highlanders,622415450,1997
New York Mets,2189022000,1997
New York Yankees,6473120680,1997
Oakland Athletics,1176906500,1997
Philadelphia Blue Jays,73313000,1997
Philadelphia Phillies,4582062500,1997
Philadelphia Quakers,256595500,1997
Pittsburg Alleghenys,43086668,1997
Pittsburgh Pirates,1357230042,1997
San Diego Padres,1793456256,1997
San Francisco Giants,2099950302,1997
Seattle Mariners,1661626440,1997
St. Louis Browns,318196669,1997
St. Louis Cardinals,5318430039,1997
St. Louis Perfectos,45456667,1997
Texas Rangers,2405197710,1997
Toronto Blue Jays,1883193320,1997
Anaheim Angels,330248000,1998
Arizona Diamondbacks,614593000,1998
Atlanta Braves,3120486000,1998
Baltimore Orioles,4558404942,1998
Boston Americans,397299000,1998
Boston Red Sox,6186513000,1998
Chicago Colts,406704000,1998
Chicago Cubs ,5795532000,1998
Chicago Orphans,254190000,1998
Chicago White Sox,4446860000,1998
Chicago White Stockings,711732000,1998
Cincinnati Redlegs,138030000,1998
Cincinnati Reds,2783605000,1998
Cleveland Blues,60800166,1998
Cleveland Bronchos,60800166,1998
Cleveland Indians,6201616932,1998
Cleveland Naps,729601992,1998
Colorado Rockies,1211631552,1998
Detroit Tigers,2791540000,1998
Florida Marlins,785130673,1998
Houston Astros,2203448000,1998
Houston Colt .45's,127122000,1998
Kansas City Royals,1769400000,1998
Los Angeles Dodgers,2880380000,1998
Milwaukee Brewers,644383176,1998
Minnesota Twins,1563940000,1998
Montreal Expos,383094000,1998
New York Highlanders,668068670,1998
New York Mets,2864289945,1998
New York Yankees,6947914168,1998
Oakland Athletics,1043847000,1998
Philadelphia Blue Jays,72595000,1998
Philadelphia Phillies,4537187500,1998
Philadelphia Quakers,254082500,1998
Pittsburg Alleghenys,60260000,1998
Pittsburgh Pirates,1898190000,1998
San Diego Padres,2249352000,1998
San Francisco Giants,2511384206,1998
Seattle Mariners,2163481440,1998
St. Louis Browns,382707647,1998
St. Louis Cardinals,6396684957,1998
St. Louis Perfectos,54672521,1998
Tampa Bay Devil Rays,272800000,1998
Tampa Bay Rays,245520000,1998
Texas Rangers,2545744275,1998
Toronto Blue Jays,2055040000,1998
Anaheim Angels,443105328,1999
Arizona Diamondbacks,1305375981,1999
Atlanta Braves,3730140000,1999
Baltimore Orioles,5078169369,1999
Boston Americans,444482500,1999
Boston Red Sox,6921227500,1999
Chicago Colts,498744000,1999
Chicago Cubs ,7107102000,1999
Chicago Orphans,311715000,1999
Chicago White Sox,2971920000,1999
Chicago White Stockings,872802000,1999
Cincinnati Redlegs,203776566,1999
Cincinnati Reds,4109494081,1999
Cleveland Blues,72978462,1999
Cleveland Bronchos,72978462,1999
Cleveland Indians,7443803124,1999
Cleveland Naps,875741544,1999
Colorado Rockies,1486460088,1999
Detroit Tigers,4232801256,1999
Florida Marlins,400615000,1999
Houston Astros,2855528000,1999
Houston Colt .45's,164742000,1999
Kansas City Royals,1258800000,1999
Los Angeles Dodgers,4770884727,1999
Milwaukee Brewers,824170505,1999
Minnesota Twins,1190420000,1999
Montreal Expos,644508000,1999
New York Highlanders,867343590,1999
New York Mets,3580065060,1999
New York Yankees,9020373336,1999
Oakland Athletics,1197159817,1999
Philadelphia Blue Jays,63385000,1999
Philadelphia Phillies,3961562500,1999
Philadelphia Quakers,221847500,1999
Pittsburg Alleghenys,98790664,1999
Pittsburgh Pirates,3111905916,1999
San Diego Padres,2388872592,1999
San Francisco Giants,2749108363,1999
Seattle Mariners,2165000120,1999
St. Louis Browns,348447365,1999
St. Louis Cardinals,5824048815,1999
St. Louis Perfectos,49778195,1999
Tampa Bay Devil Rays,388700000,1999
Tampa Bay Rays,349830000,1999
Texas Rangers,3451946895,1999
Toronto Blue Jays,1817773320,1999
Anaheim Angels,411713336,2000
Arizona Diamondbacks,1539528827,2000
Atlanta Braves,4311429636,2000
Baltimore Orioles,5131188405,2000
Boston Americans,545582331,2000
Boston Red Sox,8495496297,2000
Chicago Colts,484314664,2000
Chicago Cubs ,6901483962,2000
Chicago Orphans,302696665,2000
Chicago White Sox,3611486000,2000
Chicago White Stockings,847550662,2000
Cincinnati Redlegs,281203200,2000
Cincinnati Reds,5670931200,2000
Cleveland Blues,75880771,2000
Cleveland Bronchos,75880771,2000
Cleveland Indians,7739838642,2000
Cleveland Naps,910569252,2000
Colorado Rockies,1466668560,2000
Detroit Tigers,6758759372,2000
Florida Marlins,377568000,2000
Houston Astros,2667033772,2000
Houston Colt .45's,153867333,2000
Kansas City Royals,1124784000,2000
Los Angeles Dodgers,5187532874,2000
Milwaukee Brewers,693601327,2000
Minnesota Twins,925092000,2000
Montreal Expos,1187795988,2000
New York Highlanders,923382600,2000
New York Mets,4373037680,2000
New York Yankees,9603179040,2000
Oakland Athletics,1566595317,2000
Philadelphia Blue Jays,94616000,2000
Philadelphia Phillies,5913500000,2000
Philadelphia Quakers,331156000,2000
Pittsburg Alleghenys,115713336,2000
Pittsburgh Pirates,3644970084,2000
San Diego Padres,2631408000,2000
San Francisco Giants,3170531734,2000
Seattle Mariners,2356600000,2000
St. Louis Browns,430177041,2000
St. Louis Cardinals,7190101971,2000
St. Louis Perfectos,61453863,2000
Tampa Bay Devil Rays,627651290,2000
Tampa Bay Rays,564886161,2000
Texas Rangers,3185816445,2000
Toronto Blue Jays,1793533280,2000
Anaheim Angels,380281336,2001
Arizona Diamondbacks,1616576981,2001
Atlanta Braves,4688744466,2001
Baltimore Orioles,4258771020,2001
Boston Americans,770250831,2001
Boston Red Sox,11993905797,2001
Chicago Colts,517726664,2001
Chicago Cubs ,7377604962,2001
Chicago Orphans,323579165,2001
Chicago White Sox,7615825372,2001
Chicago White Stockings,906021662,2001
Cincinnati Redlegs,293916000,2001
Cincinnati Reds,5927306000,2001
Cleveland Blues,93152001,2001
Cleveland Bronchos,93152001,2001
Cleveland Indians,9501504102,2001
Cleveland Naps,1117824012,2001
Colorado Rockies,1716992016,2001
Detroit Tigers,6196275372,2001
Florida Marlins,679487500,2001
Houston Astros,3151858684,2001
Houston Colt .45's,181838001,2001
Kansas City Royals,1700280000,2001
Los Angeles Dodgers,6437251227,2001
Milwaukee Brewers,833849827,2001
Minnesota Twins,1351280000,2001
Montreal Expos,1265742000,2001
New York Highlanders,1122871430,2001
New York Mets,5124593540,2001
New York Yankees,11677862872,2001
Oakland Athletics,1656726750,2001
Philadelphia Blue Jays,83327666,2001
Philadelphia Phillies,5207979125,2001
Philadelphia Quakers,291646831,2001
Pittsburg Alleghenys,231043332,2001
Pittsburgh Pirates,7277864958,2001
San Diego Padres,1880775984,2001
San Francisco Giants,3733529853,2001
